vertical,agency_name,website,notes,hq_region,leadership_snapshot,portfolio_public_hooks,core_services_tagged,ai_geo_answer_engine_signals,gemflush_outreach_angle,wikidata_knowledge_graph_angle,enrichment_source_date
legal,Rankings.io,https://www.rankings.io/,PI criminal defense family immigration employment bankruptcy estate planning positioning,USA (multi-office); ~160+ staff,Chris Dreyer (Founder & CEO); Steven Willi (President); Sonya Palmer (COO); Zach Ramey (CRO),The Levin Firm (Philadelphia PI): large organic traffic and case pipeline growth public case study | Florida PI firm: organic cases/month scaling in published results,SEO; PPC; LSA; web; content; local; paid social,Strong traditional legal SEO; public content on search dominance—verify current AI Overview / LLM citation offerings on site,"Pitch: white-label or partner layer for AI/answer-engine visibility for their high-LTV PI and litigation clients where ""blue links"" alone are shrinking",Elite law firms are YMYL entities; Wikidata/org sameAs and structured entity graphs can reinforce E-E-A-T signals their content teams already invest in,2026-04-02 (web search + public pages; verify before send)
legal,LawRank,https://lawrank.com/,SEO PPC web; PI defense family workers comp employment,San Diego CA; offices NY LA; ~51-200 employees (LinkedIn estimate),Mariano Rodriguez (CEO & co-founder; UCLA Law),Public testimonials reference competitive markets (LA Miami Philadelphia etc.); third-party profiles mention sample firm names—confirm before citing,SEO; Google Ads PPC; web design; local; AI optimization (per site positioning),Site mentions AI optimization alongside SEO—good fit for Gem Flush narrative on generative search,Offer: measurable AI-surface visibility reporting for their $1M+ grossing firm ICP without replacing their WordPress/stack,Attorney and law firm entities in knowledge graphs; Wikidata publishing can complement local/schema work for multi-office firms,2026-04-02 (web search + public pages; verify before send)
legal,Custom Legal Marketing,https://www.customlegalmarketing.com/,Legal-focused SEO content PPC long-running shop,San Francisco HQ (Adviatech); founded Tampa 2005,Chris Kazor & Jason Bland (co-founders),Sommers Schwartz (Michigan litigation): public awards + documented lead/ranking outcomes in CLM materials,SEO; PPC; content; link building; local; video; podcast; email,Primarily classic SEO/PPC—angle: differentiate client exclusivity markets with entity-level AI visibility,"Gem Flush: ""No Competition"" markets—own the entity footprint in Google + LLMs for that metro/practice pair",Large litigation brands benefit from consistent sameAs and org entity data across Wikipedia-adjacent graphs,2026-04-02 (web search + public pages; verify before send)
legal,Scorpion,https://www.scorpion.co/law-firms,Large legal vertical; SEO part of broader stack,USA; enterprise legal marketing vendor,Enterprise leadership team (verify current C-suite); Clio Preferred Marketing Partner (2025),20k+ businesses served (company-wide); law vertical includes multi-practice positioning,Ranking AI (SEO); Advertising AI; websites; LSA; content; chat/intake,Explicit AI product narrative (Ranking AI etc.)—direct conversation starter vs Gem Flush enterprise/API positioning,Partner or data-layer pitch: structured entity publishing where their CMS stack does not cover knowledge bases,"National brands need federated entity data; Wikidata can sit beside proprietary ""Ranking AI"" as open-graph reinforcement",2026-04-02 (web search + public pages; verify before send)
legal,PaperStreet,https://www.paperstreet.com/,Law firm sites plus marketing often including SEO,USA; ~25+ years in market,Founded by an attorney (public site story),Searcy Law / Searcy Denney: 5000+ leads/year cited in PaperStreet results materials,Web design; SEO; PPC; content; branding; AI marketing (per site),"Public ""AI Marketing & SEO"" positioning—align Gem Flush with their AI line",Pitch: AI visibility layer for long-tail attorney content libraries they already host,Firm + attorney entities for multi-site clients (mass torts Spanish markets etc.)—KB publishing reduces ambiguity for LLMs,2026-04-02 (web search + public pages; verify before send)
legal,Consultwebs,https://www.consultwebs.com/,Legal digital marketing including SEO,Raleigh NC; founded 1999,Dale Tincher (Founder & CEO),Several hundred law firm clients (public bio); case/cost metrics in PR materials—verify before quoting,SEO; digital ads; web; video; social,Traditional performance focus; AI angle: tie cases-not-clicks positioning to answer-engine leads,Gem Flush: intake-quality narrative—LLM referrals as incremental qualified conversations,Multi-attorney firms: entity consolidation in Wikidata supports brand disambiguation in search + AI,2026-04-02 (web search + public pages; verify before send)
legal,JurisPage,https://www.jurispage.com/,Legal marketing; SEO in mix,USA; legal-only,Leadership post-2026: Juris Digital acquisition—confirm named contacts,Wilson Criminal Defence (Calgary): +1851% organic traffic / 10x growth case study | Sands Law Group; Immigration Desk in case studies,Market gap analysis; SEO; Google Ads; web; month-to-month positioning,Thought leadership on gaps and speed-to-lead—add AI citation gap analysis,"Pitch: ""market gap"" methodology extended to ChatGPT/Perplexity/AI Overviews for same metros",Canadian + US firms in portfolio—jurisdiction-correct entity data matters for cross-border disambiguation,2026-04-02 (web search + public pages; verify before send)
legal,Mockingbird,https://mockingbirdmarketing.com/,Legal marketing with strong SEO positioning,Seattle WA; ~20+ staff,Conrad Saam (Founder & President); ex-Avvo marketing; author/speaker,Portfolio via testimonials and podcasts—name specific firms only from public pages,SEO; PPC; web; BI/reporting,Conrad speaks on SEO shifts—natural opener for GEO/AEO services resale,Transparent agency; likely to grasp API/white-label Gem Flush for sophisticated clients,"Knowledge graph literacy audience; Wikidata as ""own your entity"" fits their anti-lock-in philosophy",2026-04-02 (web search + public pages; verify before send)
medical,Med SEO,https://medseo.agency/,Positions as medical-practice SEO,USA (healthcare SEO specialist),Verify named leadership on medseo.agency,2026 press: positions research at scale on healthcare sites + GEO/SEO positioning (verify vendor PR),Healthcare-only SEO; web; specialty vertical pages (ortho plastics psych etc.),High alignment: they already market medical AI/search—Gem Flush as execution partner,Pitch: procedural/condition entities at scale for med groups—Gem Flush + their content ops,Hospitals and clinics as Wikidata items; strong YMYL match for structured publishing,2026-04-02 (web search + public pages; verify before send)
medical,Digital Elevator,https://www.thedigitalelevator.com/,Healthcare biotech medtech; SEO core service,West Palm Beach FL area; regulated industries focus,Daniel Lofaso (President & Founder; since 2010),McKesson case narrative (B2B healthcare); biotech roster—confirm public logos,SEO; answer engine optimization; content; CRO; UX; PR; AI marketing agents (7),Very high fit: explicit AEO + AI agents—Gem Flush as Wikidata/entity execution,Partner pitch: LLM optimization plus persistent KB entities for medtech brands,Biotech/medical org entities; clinical trust signals via graph publishing,2026-04-02 (web search + public pages; verify before send)
